CAD,Q_piston_W,Q_cylinderHead_W,Q_cylinderWall_W,Q_total_W
-180.0,0.667931,0.812193,2.979707,4.459832
-170.0,0.595395,0.724955,2.608042,3.928393
-160.0,0.531507,0.646887,2.232881,3.411276
-150.0,0.475694,0.575903,1.863335,2.914932
-140.0,0.426809,0.509761,1.504468,2.441038
-130.0,0.382113,0.445885,1.15853,1.986528
-120.0,0.337444,0.38115,0.826271,1.544866
-110.0,0.287344,0.311503,0.511518,1.110364
-100.0,0.224558,0.231395,0.216037,0.67199
-90.0,0.139418,0.134787,-0.057515,0.21669
-80.0,0.017539,0.010303,-0.304373,-0.276532
-70.0,-0.163547,-0.161973,-0.518104,-0.843624
-60.0,-0.438631,-0.413446,-0.691302,-1.543379
-50.0,-0.859566,-0.79241,-0.81664,-2.468616
-40.0,-1.487486,-1.364965,-0.889121,-3.741572
-30.0,-2.330125,-2.187148,-0.909784,-5.427057
-20.0,-3.167842,-3.178663,-0.889726,-7.23623
-10.0,-3.626237,-3.855203,-0.851576,-8.333017
0.0,-3.980608,-3.413596,-0.821368,-8.215572
10.0,-3.15821,-1.893211,-0.808105,-5.859526
20.0,-1.538033,-0.399282,-0.791617,-2.728933
30.0,-0.334798,0.465825,-0.737701,-0.606674
40.0,0.29525,0.824606,-0.620433,0.499422
50.0,0.56394,0.917295,-0.430997,1.050238
60.0,0.647916,0.895505,-0.176311,1.36711
70.0,0.644378,0.832358,0.125444,1.60218
80.0,0.600568,0.759346,0.44963,1.809544
90.0,0.536253,0.688916,0.770074,1.995243
100.0,0.455327,0.625326,1.063243,2.143896
110.0,0.343847,0.569407,1.310752,2.224007
120.0,0.128257,0.520683,1.500718,2.149658
130.0,-0.307981,0.478276,1.628551,1.798846
140.0,-0.686925,0.441276,1.695891,1.450242
150.0,-0.364324,0.408372,1.705189,1.749237
160.0,-0.04074,0.378578,1.663059,2.000898
170.0,0.213199,0.351187,1.578191,2.142576
180.0,0.403392,0.325487,1.458469,2.187348
